TARGET_B,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner dummy,NUMCHLD,INCOME,gender dummy,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT
1,0,0,1,0,1,1,4,0,5,505,333,388,16,51,63,15,10,37,8,9
1,1,0,0,0,1,1,1,1,5,428,203,271,39,73,161,6,3,32,7,3.659090909
1,1,0,0,0,0,1,5,0,8,1318,399,458,8,25,40,10,10,32,2,8
0,0,0,0,1,0,1,2,0,8,1052,337,402,5,27,50,20,20,37,7,16.66666667
0,1,0,0,0,1,1,4,0,9,2246,542,640,1,76,262,34,32,33,3,14.55555556
1,0,0,0,1,1,1,5,1,8,860,321,392,9,38,53,20,5,18,0,8.833333333
1,0,0,1,0,1,1,6,1,9,3958,761,862,0,53,119,20,20,31,3,11.9
1,0,1,0,0,1,1,4,1,8,411,236,273,21,15,15,15,15,35,5,15
1,0,1,0,0,1,1,4,0,2,610,281,328,16,50,161,25,10,36,5,10.0625
0,1,0,0,0,1,1,1,1,8,826,415,514,5,37,32,15,15,37,6,8
1,1,0,0,0,1,1,4,1,4,780,321,354,14,48,175,20,15,37,9,13.46153846
1,0,0,0,1,0,1,4,1,4,3321,434,536,10,66,85,20,20,37,10,9.444444444
1,0,0,0,1,1,1,3,0,8,1868,324,380,12,28,31,10,10,32,3,5.166666667
0,0,0,1,0,0,1,4,1,8,457,302,329,19,85,79,10,10,30,12,3.590909091
0,0,0,0,1,1,1,5,0,8,1604,438,431,12,26,35,10,10,31,6,8.75
0,0,0,0,1,1,1,4,1,8,842,464,556,3,50,107,10,10,31,4,5.944444444
1,1,0,0,0,1,1,6,1,8,2085,755,797,3,50,85,5,5,32,6,4.722222222
0,1,0,0,0,1,1,4,0,8,0,0,0,0,27,40,10,10,31,6,10
0,0,1,0,0,1,1,1,0,8,299,247,315,25,22,47,20,13,30,4,11.75
1,0,0,0,1,1,1,1,1,0,998,273,354,19,72,90,10,5,31,12,6
0,0,0,1,0,0,1,4,0,5,620,388,405,16,52,107,15,11,35,6,9.727272727
1,0,0,0,1,0,1,5,0,8,4347,410,454,8,33,42,10,10,31,5,6
1,0,0,0,1,1,1,4,1,1,835,310,364,22,70,126,6,6,34,8,4.344827586
1,0,0,0,1,1,1,4,0,5,1772,418,492,3,99,288,21,15,17,5,13.71428571
0,0,0,0,1,1,1,4,1,5,971,347,375,12,50,84,10,7,30,6,6.461538462
1,0,0,1,0,1,1,2,0,3,596,279,353,21,68,94,7,5,29,2,4.7
1,1,0,0,0,1,1,7,0,8,1046,521,576,1,30,66,12,12,28,4,11
0,0,0,0,1,0,1,6,0,8,2483,627,668,2,49,98,50,50,30,4,16.33333333
0,1,0,0,0,0,1,3,0,8,660,308,329,10,53,48,14,7,33,0,6.857142857
0,1,0,0,0,1,1,2,1,8,982,549,533,10,66,165,14,14,31,7,10.3125
0,1,0,0,0,0,1,1,0,9,1516,597,668,4,61,128,40,40,29,14,21.33333333
1,0,0,1,0,1,1,5,1,8,1080,521,529,8,21,20,15,15,32,5,10
0,0,0,0,1,0,1,5,1,8,2124,526,554,2,28,49,20,10,31,2,8.166666667
0,0,0,0,1,0,1,2,1,8,1631,331,400,14,24,31,10,10,28,6,7.75
0,0,0,0,1,1,1,5,1,8,1473,332,370,14,32,70,15,15,28,2,10
1,0,0,1,0,1,1,4,1,3,806,347,354,15,76,119,15,10,31,10,10.81818182
0,0,1,0,0,1,1,4,1,8,306,181,204,38,21,45,35,35,29,7,22.5
1,0,1,0,0,0,1,2,0,5,698,335,348,14,59,276,15,13,33,10,11.5
0,0,0,0,1,1,1,4,1,8,910,245,370,28,72,182,15,10,33,4,9.1
0,0,0,0,1,1,1,6,1,8,2635,516,535,4,19,30,30,30,37,5,30
0,0,1,0,0,0,1,5,0,8,625,368,489,6,34,30,10,7,32,14,6
1,1,0,0,0,1,1,4,0,8,1115,349,465,17,21,30,20,20,33,15,15
1,1,0,0,0,1,1,2,1,7,645,377,362,12,82,120,10,10,17,6,4.285714286
1,0,0,0,1,1,1,3,0,8,869,304,410,10,26,35,10,10,32,6,8.75
0,0,1,0,0,1,1,4,0,8,512,289,271,25,34,114,15,13,32,3,11.4
1,0,0,0,1,0,1,5,0,8,2194,464,506,6,43,119,30,22,23,1,10.81818182
0,0,0,0,1,1,1,1,0,4,1723,366,427,3,67,370,20,13,36,2,12.33333333
1,0,0,1,0,1,1,3,0,9,840,522,561,9,80,204,9,7,30,3,6.181818182
1,0,0,0,1,0,1,7,0,8,2827,616,620,0,40,61,19,19,30,11,12.2
1,0,1,0,0,1,1,4,1,8,711,465,495,4,48,46,10,10,31,10,5.111111111
1,0,0,0,1,1,1,4,1,8,1969,531,563,11,16,20,20,20,36,5,20
0,0,0,0,1,0,1,1,1,0,2582,148,207,52,52,150,50,50,37,3,30
0,0,1,0,0,1,1,6,1,5,953,383,388,20,49,64,10,10,33,4,6.4
0,0,1,0,0,0,2,2,1,8,623,379,388,6,43,37,9,5,29,3,3.7
0,0,1,0,0,1,1,7,0,8,504,311,315,15,23,20,15,15,36,7,10
0,0,1,0,0,0,1,1,1,8,332,399,403,4,24,29,11,8,29,6,7.25
