TARGET_B,ZIPGROUP,zipconvert_2,zipconvert_3,zipconvert_4,zipconvert_5,homeowner dummy,NUMCHLD,INCOME,gender dummy,WEALTH,HV,Icmed,Icavg,IC15,NUMPROM,RAMNTALL,MAXRAMNT,LASTGIFT,totalmonths,TIMELAG,AVGGIFT,LN_HV,LN_Icmed,LN_Icavg,LN_IC15,LN_NUMPROM,LN_RAMNTALL,LN_MAXRAMNT,LN_LASTGIFT,LN_totalmonths,LN_TIMELAG,_LN_AVGGIFT
1,3,0,1,0,0,1,1,5,1,9,1399,637,703,1,74,102,6,5,29,3,4.857142857,7.243512975,6.456769656,6.555356892,0,4.304065093,4.624972813,1.791759469,1.609437912,3.36729583,1.098612289,1.580450376
1,2,1,0,0,0,1,1,1,0,7,698,422,463,4,46,94,12,12,34,6,9.4,6.548219103,6.045005314,6.137727054,1.386294361,3.828641396,4.543294782,2.48490665,2.48490665,3.526360525,1.791759469,2.240709689
1,5,0,0,0,1,0,2,5,1,8,828,358,376,13,32,30,10,5,29,7,4.285714286,6.719013154,5.880532986,5.929589143,2.564949357,3.465735903,3.401197382,2.302585093,1.609437912,3.36729583,1.945910149,1.455287233
0,5,0,0,0,1,1,1,3,0,4,1471,484,546,4,94,177,10,8,30,3,7.08,7.293697721,6.182084907,6.302618976,1.386294361,4.543294782,5.176149733,2.302585093,2.079441542,3.401197382,1.098612289,1.957273908
0,3,0,1,0,0,1,1,4,0,8,547,386,432,7,20,23,11,11,30,6,7.666666667,6.304448802,5.955837369,6.068425588,1.945910149,2.995732274,3.135494216,2.397895273,2.397895273,3.401197382,1.791759469,2.036881927
1,3,0,1,0,0,1,1,4,1,8,482,242,275,28,38,73,10,10,31,3,7.3,6.177944114,5.488937726,5.616771098,3.33220451,3.63758616,4.290459441,2.302585093,2.302585093,3.433987204,1.098612289,1.987874348
1,5,0,0,0,1,1,1,4,1,8,857,450,498,5,47,139,20,20,37,3,10.69230769,6.753437919,6.109247583,6.210600077,1.609437912,3.850147602,4.934473933,2.995732274,2.995732274,3.610917913,1.098612289,2.369524576
1,2,1,0,0,0,1,1,1,0,7,1355,411,497,9,77,249,15,7,35,3,9.576923077,7.211556733,6.018593214,6.208590026,2.197224577,4.343805422,5.517452896,2.708050201,1.945910149,3.555348061,1.098612289,2.259356358
0,2,1,0,0,0,1,1,4,1,8,1438,458,533,8,21,26,16,16,30,6,13,7.271008538,6.126869184,6.278521424,2.079441542,3.044522438,3.258096538,2.772588722,2.772588722,3.401197382,1.791759469,2.564949357
1,5,0,0,0,1,1,1,4,1,8,1316,541,575,11,66,108,12,7,31,1,6,7.182352112,6.293419279,6.354370041,2.397895273,4.189654742,4.682131227,2.48490665,1.945910149,3.433987204,0,1.791759469
